Brewery,Name,Score,Style,ABV,Address,Lat,Lon,Link
Stone Brewing World Bistro & Gardens (Escondido),Stone 22nd Anniversary AnniMatter,4.9,IPA - Imperial / Double,9.1,"1999 Citracado Parkway, Escondido, CA 92029",33.115648,-117.122468,"https://www.google.com/maps/place/1999+Citracado+Parkway,+Escondido,+CA+92029/@33.115648,-117.122468,17z/data=!3m1!4b1!4m5!3m4!1s0x80dbf4e6aa31ef99:0xf9e48b73f5afc57f!8m2!3d33.115648!4d-117.120274"
Stone Brewing World Bistro & Gardens (Escondido),Stone Vengeful Spirit IPA,4.75,IPA,7.3,"1999 Citracado Parkway, Escondido, CA 92029",33.115648,-117.122468,"https://www.google.com/maps/place/1999+Citracado+Parkway,+Escondido,+CA+92029/@33.115648,-117.122468,17z/data=!3m1!4b1!4m5!3m4!1s0x80dbf4e6aa31ef99:0xf9e48b73f5afc57f!8m2!3d33.115648!4d-117.120274"
Stone Brewing World Bistro & Gardens (Escondido),Stone I'm Peach Double IPA,4.55,IPA - Imperial / Double,8.8,"1999 Citracado Parkway, Escondido, CA 92029",33.115648,-117.122468,"https://www.google.com/maps/place/1999+Citracado+Parkway,+Escondido,+CA+92029/@33.115648,-117.122468,17z/data=!3m1!4b1!4m5!3m4!1s0x80dbf4e6aa31ef99:0xf9e48b73f5afc57f!8m2!3d33.115648!4d-117.120274"
Stone Brewing World Bistro & Gardens (Escondido),Stone (Berlin) White Ghost/Geist Berliner Weisse,3.4,Berliner Weisse,4.7,"1999 Citracado Parkway, Escondido, CA 92029",33.115648,-117.122468,"https://www.google.com/maps/place/1999+Citracado+Parkway,+Escondido,+CA+92029/@33.115648,-117.122468,17z/data=!3m1!4b1!4m5!3m4!1s0x80dbf4e6aa31ef99:0xf9e48b73f5afc57f!8m2!3d33.115648!4d-117.120274"
Stone Brewing World Bistro & Gardens (Escondido),Stone Liberty Station Hop C 2 C,3.5,IPA,7.7,"1999 Citracado Parkway, Escondido, CA 92029",33.115648,-117.122468,"https://www.google.com/maps/place/1999+Citracado+Parkway,+Escondido,+CA+92029/@33.115648,-117.122468,17z/data=!3m1!4b1!4m5!3m4!1s0x80dbf4e6aa31ef99:0xf9e48b73f5afc57f!8m2!3d33.115648!4d-117.120274"
Stone Brewing World Bistro & Gardens (Escondido),Societe / Stone The Skedaddler IPA,3.7,IPA,7.0,"1999 Citracado Parkway, Escondido, CA 92029",33.115648,-117.122468,"https://www.google.com/maps/place/1999+Citracado+Parkway,+Escondido,+CA+92029/@33.115648,-117.122468,17z/data=!3m1!4b1!4m5!3m4!1s0x80dbf4e6aa31ef99:0xf9e48b73f5afc57f!8m2!3d33.115648!4d-117.120274"
Stone Brewing World Bistro & Gardens (Escondido),Stone Depth-Charged Double Bastard,4.8,American Strong Ale,11.2,"1999 Citracado Parkway, Escondido, CA 92029",33.115648,-117.122468,"https://www.google.com/maps/place/1999+Citracado+Parkway,+Escondido,+CA+92029/@33.115648,-117.122468,17z/data=!3m1!4b1!4m5!3m4!1s0x80dbf4e6aa31ef99:0xf9e48b73f5afc57f!8m2!3d33.115648!4d-117.120274"
Stone Brewing World Bistro & Gardens (Escondido),Stone /// Fear. Movie. Lions,4.75,IPA - Imperial / Double,8.5,"1999 Citracado Parkway, Escondido, CA 92029",33.115648,-117.122468,"https://www.google.com/maps/place/1999+Citracado+Parkway,+Escondido,+CA+92029/@33.115648,-117.122468,17z/data=!3m1!4b1!4m5!3m4!1s0x80dbf4e6aa31ef99:0xf9e48b73f5afc57f!8m2!3d33.115648!4d-117.120274"
Stone Brewing World Bistro & Gardens (Escondido),Stone Exalted IPA,4.4,IPA,7.0,"1999 Citracado Parkway, Escondido, CA 92029",33.115648,-117.122468,"https://www.google.com/maps/place/1999+Citracado+Parkway,+Escondido,+CA+92029/@33.115648,-117.122468,17z/data=!3m1!4b1!4m5!3m4!1s0x80dbf4e6aa31ef99:0xf9e48b73f5afc57f!8m2!3d33.115648!4d-117.120274"
Stone Brewing World Bistro & Gardens (Escondido),Alchemist Crusher,5.0,IPA - Imperial / Double,9.0,"1999 Citracado Parkway, Escondido, CA 92029",33.115648,-117.122468,"https://www.google.com/maps/place/1999+Citracado+Parkway,+Escondido,+CA+92029/@33.115648,-117.122468,17z/data=!3m1!4b1!4m5!3m4!1s0x80dbf4e6aa31ef99:0xf9e48b73f5afc57f!8m2!3d33.115648!4d-117.120274"
Stone Brewing World Bistro & Gardens (Escondido),Alchemist Focal Banger,5.0,IPA - Hazy / New England,7.0,"1999 Citracado Parkway, Escondido, CA 92029",33.115648,-117.122468,"https://www.google.com/maps/place/1999+Citracado+Parkway,+Escondido,+CA+92029/@33.115648,-117.122468,17z/data=!3m1!4b1!4m5!3m4!1s0x80dbf4e6aa31ef99:0xf9e48b73f5afc57f!8m2!3d33.115648!4d-117.120274"
Stone Brewing World Bistro & Gardens (Escondido),Dogfish Head Liquid Truth Serum IPA,4.7,IPA,6.8,"1999 Citracado Parkway, Escondido, CA 92029",33.115648,-117.122468,"https://www.google.com/maps/place/1999+Citracado+Parkway,+Escondido,+CA+92029/@33.115648,-117.122468,17z/data=!3m1!4b1!4m5!3m4!1s0x80dbf4e6aa31ef99:0xf9e48b73f5afc57f!8m2!3d33.115648!4d-117.120274"
Stone Brewing World Bistro & Gardens (Escondido),Stone Liberty Station Great Bowman's Beard,2.8,Scotch Ale / Wee Heavy,9.5,"1999 Citracado Parkway, Escondido, CA 92029",33.115648,-117.122468,"https://www.google.com/maps/place/1999+Citracado+Parkway,+Escondido,+CA+92029/@33.115648,-117.122468,17z/data=!3m1!4b1!4m5!3m4!1s0x80dbf4e6aa31ef99:0xf9e48b73f5afc57f!8m2!3d33.115648!4d-117.120274"
Stone Brewing World Bistro & Gardens (Escondido),AleSmith Sublime Mexican Lager,2.45,Amber Lager / Vienna,5.2,"1999 Citracado Parkway, Escondido, CA 92029",33.115648,-117.122468,"https://www.google.com/maps/place/1999+Citracado+Parkway,+Escondido,+CA+92029/@33.115648,-117.122468,17z/data=!3m1!4b1!4m5!3m4!1s0x80dbf4e6aa31ef99:0xf9e48b73f5afc57f!8m2!3d33.115648!4d-117.120274"
Stone Brewing World Bistro & Gardens (Escondido),Stone (Berlin) Collab 09 Todd Haug Saurer Axtmann,4.45,Berliner Weisse,9.0,"1999 Citracado Parkway, Escondido, CA 92029",33.115648,-117.122468,"https://www.google.com/maps/place/1999+Citracado+Parkway,+Escondido,+CA+92029/@33.115648,-117.122468,17z/data=!3m1!4b1!4m5!3m4!1s0x80dbf4e6aa31ef99:0xf9e48b73f5afc57f!8m2!3d33.115648!4d-117.120274"
Stone Brewing World Bistro & Gardens (Escondido),Arrogant Bastard Ale,4.95,American Strong Ale,7.2,"1999 Citracado Parkway, Escondido, CA 92029",33.115648,-117.122468,"https://www.google.com/maps/place/1999+Citracado+Parkway,+Escondido,+CA+92029/@33.115648,-117.122468,17z/data=!3m1!4b1!4m5!3m4!1s0x80dbf4e6aa31ef99:0xf9e48b73f5afc57f!8m2!3d33.115648!4d-117.120274"
Stone Brewing World Bistro & Gardens (Escondido),Miguel Ceja Andrade / Brandon Berube / Stone Merc Machine,4.8,IPA - Imperial / Double,9.0,"1999 Citracado Parkway, Escondido, CA 92029",33.115648,-117.122468,"https://www.google.com/maps/place/1999+Citracado+Parkway,+Escondido,+CA+92029/@33.115648,-117.122468,17z/data=!3m1!4b1!4m5!3m4!1s0x80dbf4e6aa31ef99:0xf9e48b73f5afc57f!8m2!3d33.115648!4d-117.120274"
